District name,Fiscal year,County,Operational efficiency peer group,Transportation efficiency peer group,Student achievement peer group,Legislative district(s),District size,Location,Students attending,Number of schools,Instruction,Instruction (peer average),Administration,Plant operations,Food service,Transportation,Student support,Instruction support,Administration cost per pupil,Peer average: Administration cost per pupil,Administration cost per pupil relative to peer average,Students per administrative position,Peer average: Students per administrative position,Overall administration measure relative to peer average,Plant operations cost per square foot,Peer average: Plant operations cost per square foot,Plant operations cost per square foot relative to peer average,Square footage per student,Peer average: Square footage per student,Square footage per student relative to peer average,Overall plant operations measures relative to peer average,Food service cost per meal,Peer average: Food service cost per meal,Food service cost per meal relative to peer average,Overall food service measure relative to peer average,Transportation cost per mile,Peer average: Transportation cost per mile,Transportation cost per mile relative to peer average,Transportation cost per rider,Peer average: Transportation cost per rider,Transportation cost per rider relative to peer average,Overall transportation measures relative to peer average,Instruction,Peer average: Instruction,Administration,Peer average: Administration,Plant operations,Peer average: Plant operations,Food service,Peer average: Food service,Transportation,Peer average: Transportation,Student support,Peer average: Student support,Instruction support,Peer average: Instruction support,Total operational spending per pupil,Peer average: Total operational spending,Land and buildings,Peer average: Land and buildings,Equipment,Peer average: Equipment,Interest,Peer average: Interest,Other,Peer average: Other,Total nonoperational spending per pupil,Peer average total nonoperational spending,Total per pupil spending,Peer average: Total per pupil spending,Math,Peer group: Math,English Language Arts,Peer group: English Language Arts,Science,Peer group: Science,Attendance rate,Peer average: Attendance rate,Graduation rate (FY 2016),Peer average: Graduation rate (FY 2016),Poverty rate (FY 2016),Peer average: Poverty rate (FY 2016),Special education population,Peer average: Special education population,Students per teacher,Peer average: Students per teacher,Average teacher salary,Peer average: Average teacher salary,Average teacher salary amount from Prop 301,Peer average: Average teacher salary amount from Prop 301,Average years of teacher experience,Peer average: Average years of teacher experience,Percent of teachers in first 3 years,Peer average: Percent of teachers in first 3 years,Federal revenues,Peer average: Federal revenues,State revenues,Peer average: State revenues,Local revenues,Peer average: Local revenues,Total revenues per pupil,Peer average: Total revenues per pupil,Equalization formula funding revenues,Peer average: Equalization formula funding revenues,Equalization formula funding amount from Prop 123,Peer average: Equalization formula funding amount from Prop 123,Prop 123 additional funding,Peer average: Prop 123 additional funding,Grant revenues,Peer average: Grant revenues,Donation and tax credit revenues,Peer average: Donation and tax credit revenues,Desegregation revenues,Number of peers receiving desegregation revenues,Small school adjustment revenues,Number of peers receiving small school adjustment revenues,Federal impact aid revenues,Number of peers receiving federal impact aid revenues,Voter-approved levy increase revenues,Number of peers receiving voter-approved levy increase revenues,Overall financial stress level,Change in number of district students (2015 through 2017),Financial stress level for change in number of district students,Spending exceeded operating/capital budgets (2015 through 2017),Financial stress level for spending exceeded operating/capital budgets,Spending increase election results  (2015 through 2017),Financial stress level for spending increase election results,"Operating reserve percentage, Trend (2015 through 2017)","Financial stress level for operating reserve percentage, Trend",Years of capital reserve held (2015 through 2017),Financial stress level for years of capital reserve held,Current financial and internal control status (2015 through 2017),Financial stress level for current financial and internal control status
Patagonia Union High School District,2017,Santa Cruz,11,T-11,10,2,Very small,Rural,75,1,48.5%,50.5%,13.0%,13.8%,4.9%,8.3%,5.6%,5.9%,"$2,530","$3,137",No Measure,55,32,No Measure,$4.84,$6.96,No Measure,557,412,No Measure,No Measure,$5.32,$5.79,No Measure,No Measure,$1.39,$1.87,No Measure,"$3,314","$1,459",No Measure,No Measure,"$9,460","$8,613","$2,530","$3,137","$2,696","$2,644",$951,"$1,000","$1,617",$961,"$1,084",$601,"$1,157",$498,"$19,495","$17,454",$123,"$1,161",$667,$735,$0,$31,$111,$90,$901,"$2,017","$20,396","$19,471",32%,28%,27%,23%,22%,26%,94%,94%,100%,91%,10%,14%,13%,14%,7.6,13.1,"$38,338","$40,448","$2,845","$5,163",10.3,9.6,20%,19%,"$2,106","$2,908","$4,313","$5,692","$14,229","$13,343","$20,648","$21,943","$10,127","$9,932",$276,$315,$57,$57,"$2,144","$2,701",$257,$184,$0,0 of 54,"$3,074",44 of 54,$0,5 of 54,$0,7 of 54,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"6.2%, Increasing",Low,More than 3 years,Low,Compliant,Low
Payson Unified School District,2017,Gila,4,T-8,5,6,Medium-large,Town,"2,291",5,52.2%,52.0%,9.9%,12.6%,3.2%,6.8%,9.4%,5.9%,$797,$844,Low,59,69,Low,$5.73,$5.36,High,176,190,Low,High,$2.53,$3.00,Very Low,Very Low,$3.96,$2.95,Very High,"$1,573","$1,037",Very High,Very High,"$4,182","$4,032",$797,$844,"$1,008",$987,$255,$409,$544,$414,$755,$607,$476,$481,"$8,017","$7,774",$83,$346,$443,$390,$657,$164,$22,$77,"$1,205",$977,"$9,222","$8,751",35%,31%,40%,31%,60%,44%,91%,93%,86%,85%,24%,24%,14%,13%,20.0,17.0,"$45,229","$44,553","$6,484","$5,512",13.1,12.8,18%,16%,"$1,069","$2,260","$2,531","$4,086","$6,108","$3,104","$9,708","$9,450","$5,462","$5,373",$235,$233,$46,$46,"$1,118","$1,374",$180,$56,$0,1 of 18,$0,0 of 18,$0,7 of 18,"$1,845",14 of 18,Low,Steady,Low,No overspending,Low,No election held,No Measure,"4.5%, Increasing",Low,More than 3 years,Low,Compliant,Low
Peach Springs Unified School District,2017,Mohave,11,T-11,19,7,Very small,Rural,184,1,33.5%,50.5%,28.2%,23.5%,5.3%,1.3%,4.5%,3.7%,"$3,324","$3,137",No Measure,46,32,No Measure,$4.96,$6.96,No Measure,558,412,No Measure,No Measure,$3.46,$5.79,No Measure,No Measure,$1.33,$1.87,No Measure,$482,"$1,459",No Measure,No Measure,"$3,940","$8,613","$3,324","$3,137","$2,767","$2,644",$627,"$1,000",$148,$961,$530,$601,$436,$498,"$11,772","$17,454",$1,"$1,161","$1,316",$735,$515,$31,$0,$90,"$1,832","$2,017","$13,604","$19,471",Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,Measure did not meet auditors' criteria for reporting.,87%,93%,N/A,N/A,35%,34%,13%,15%,20.4,14.8,"$47,025","$46,717","$4,340","$4,152",2.3,11.3,67%,16%,"$17,418","$2,908","$4,023","$5,692","$2,245","$13,343","$23,686","$21,943","$7,424","$9,932",$329,$315,$56,$57,"$1,644","$2,701",$1,$184,$0,0 of 54,$0,44 of 54,"$15,774",5 of 54,$0,7 of 54,Moderate,Moderate decrease,Moderate,Isolated,Moderate,No election held,No Measure,"5.1%, Varying",Low,Impact Aid Fund reserve,Low,Noncompliant,High
Pearce Elementary School District,2017,Cochise,11,T-11,18,14,Very small,Rural,98,1,55.9%,50.5%,17.8%,15.1%,4.3%,2.7%,2.7%,1.5%,"$2,441","$3,137",No Measure,30,32,No Measure,$6.97,$6.96,No Measure,298,412,No Measure,No Measure,$4.09,$5.79,No Measure,No Measure,$1.23,$1.87,No Measure,$677,"$1,459",No Measure,No Measure,"$7,678","$8,613","$2,441","$3,137","$2,076","$2,644",$591,"$1,000",$376,$961,$364,$601,$199,$498,"$13,725","$17,454",$0,"$1,161",$373,$735,$20,$31,$0,$90,$393,"$2,017","$14,118","$19,471",35%,36%,36%,37%,79%,61%,96%,94%,N/A,N/A,27%,26%,13%,14%,14.0,14.6,"$51,800","$49,194","$3,675","$5,175",13.6,14.0,0%,7%,"$1,151","$2,908","$4,684","$5,692","$7,815","$13,343","$13,650","$21,943","$7,732","$9,932",$311,$315,$54,$57,"$1,153","$2,701",$313,$184,$0,0 of 54,"$5,605",44 of 54,$0,5 of 54,$0,7 of 54,Moderate,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"Frozen taxes, Unfunded",High,1 to 3 years,Moderate,Compliant,Low
Pendergast Elementary School District,2017,Maricopa,7,T-2,13,19 and 29,Large,City,"9,607",12,53.6%,54.1%,11.0%,10.9%,8.2%,2.4%,8.2%,5.7%,$815,$796,Comparable,93,75,Comparable,$6.21,$6.23,Comparable,130,135,Comparable,Comparable,$2.51,$2.77,Low,Low,$6.01,$5.31,High,"$1,221","$1,178",Comparable,High,"$3,968","$4,304",$815,$796,$806,$837,$603,$566,$180,$303,$607,$671,$419,$511,"$7,398","$7,988",$77,$499,$416,$357,$121,$361,$176,$168,$790,"$1,385","$8,188","$9,373",28%,32%,32%,32%,44%,46%,96%,94%,N/A,N/A,25%,25%,10%,12%,21.6,19.1,"$53,818","$43,084","$3,656","$4,885",10.2,8.3,21%,30%,"$1,171","$1,522","$4,488","$4,236","$2,585","$3,488","$8,244","$9,246","$4,942","$5,133",$231,$235,$43,$44,"$1,220","$1,543",$35,$45,$0,4 of 10,$0,0 of 10,$0,2 of 10,"$1,347",10 of 10,Low,Increase,Low,No overspending,Low,Voter-approved,Low,"6.9%, Varying",Low,1 to 3 years,Moderate,Compliant,Low
Peoria Unified School District,2017,Maricopa,1,T-4,2,"20, 21, 22, and 29",Very large,Suburb,"35,283",41,56.9%,56.4%,9.6%,10.1%,4.3%,3.6%,10.2%,5.3%,$723,$680,High,91,80,High,$5.70,$6.15,Low,133,147,Low,Low,$2.92,$2.79,Comparable,Comparable,$3.85,$3.61,High,"$1,361","$1,278",High,High,"$4,288","$4,386",$723,$680,$760,$877,$325,$323,$271,$341,$773,$679,$394,$358,"$7,534","$7,644",$603,$651,$426,$393,$275,$223,$152,$209,"$1,456","$1,476","$8,990","$9,120",47%,44%,41%,44%,56%,60%,95%,95%,94%,90%,14%,13%,12%,12%,18.2,18.4,"$48,595","$46,837","$6,332","$6,016",11.3,11.3,17%,18%,$653,$885,"$3,916","$3,394","$4,011","$5,302","$8,580","$9,581","$5,199","$5,387",$238,$241,$46,$46,$709,$901,$88,$98,$0,4 of 10,$0,0 of 10,$0,2 of 10,"$1,433",10 of 10,Moderate,Steady,Low,No overspending,Low,Mixed election results,Moderate,"1.7%, Varying",High,1 to 3 years,Moderate,Compliant,Low
Phoenix Elementary School District,2017,Maricopa,8,T-2,15,"24, 27, and 30",Medium-large,City,"6,384",13,49.8%,51.3%,9.2%,12.5%,5.6%,3.3%,10.9%,8.7%,"$1,024",$974,High,47,68,High,$7.54,$6.31,Very High,183,147,Very High,Very High,$2.63,$2.75,Comparable,Comparable,$7.08,$5.31,Very High,"$1,668","$1,178",Very High,Very High,"$5,511","$4,164","$1,024",$974,"$1,381",$909,$618,$640,$367,$327,"$1,209",$626,$962,$559,"$11,072","$8,199","$1,361",$924,$664,$582,$298,$255,$33,$146,"$2,356","$1,907","$13,428","$10,106",28%,25%,26%,22%,43%,37%,95%,94%,N/A,N/A,44%,44%,11%,10%,16.5,19.1,"$48,987","$52,696","$1,695","$4,542",10.3,10.3,26%,22%,"$3,153","$1,848","$3,361","$3,857","$7,524","$4,627","$14,038","$10,332","$5,164","$5,145",$240,$236,$44,$43,"$3,310","$1,915",$78,$54,"$1,746",4 of 19,$0,0 of 19,$0,0 of 19,"$2,751",19 of 19,Low,Moderate decrease,Moderate,No overspending,Low,Voter-approved,Low,"10%, Increasing",Low,More than 3 years,Low,Compliant,Low
Phoenix Union High School District,2017,Maricopa,1,T-5,9,"19, 24, 27, 28, 29, and 30",Very large,City,"27,016",16,53.6%,56.4%,9.7%,13.4%,3.6%,3.8%,10.2%,5.7%,"$1,056",$680,Very High,37,80,Very High,$8.81,$6.15,Very High,164,147,High,Very High,$2.64,$2.79,Low,Low,N/A,$4.15,No measure,$991,"$1,809",Very Low,No measure,"$5,805","$4,386","$1,056",$680,"$1,448",$877,$392,$323,$412,$341,"$1,110",$679,$615,$358,"$10,838","$7,644",$819,$651,$598,$393,$468,$223,$46,$209,"$1,931","$1,476","$12,769","$9,120",22%,26%,19%,23%,20%,31%,89%,93%,83%,88%,32%,29%,11%,10%,18.3,21.6,"$62,782","$57,269","$7,969","$7,589",13.3,11.8,8%,18%,"$1,485",$885,"$2,852","$3,394","$8,343","$5,302","$12,680","$9,581","$5,636","$5,387",$248,$241,$47,$46,"$1,516",$901,$28,$98,"$2,029",4 of 10,$0,0 of 10,$0,2 of 10,"$2,674",10 of 10,Low,Steady,Low,No overspending,Low,Voter-approved,Low,"6.1%, Varying",Low,More than 3 years,Low,Marginally compliant,Moderate
Picacho Elementary School District,2017,Pinal,11,T-11,18,8 and 11,Very small,Rural,175,1,49.1%,50.5%,18.0%,12.4%,9.9%,5.4%,4.0%,1.2%,"$1,684","$3,137",No Measure,64,32,No Measure,$7.59,$6.96,No Measure,153,412,No Measure,No Measure,$3.63,$5.79,No Measure,No Measure,$2.26,$1.87,No Measure,$476,"$1,459",No Measure,No Measure,"$4,601","$8,613","$1,684","$3,137","$1,163","$2,644",$924,"$1,000",$507,$961,$377,$601,$114,$498,"$9,370","$17,454",$0,"$1,161",$346,$735,$21,$31,$0,$90,$367,"$2,017","$9,737","$19,471",11%,36%,12%,37%,38%,61%,94%,94%,N/A,N/A,27%,26%,9%,14%,14.6,14.6,"$44,494","$49,194","$5,064","$5,175",10.5,14.0,0%,7%,"$1,450","$2,908","$1,826","$5,692","$6,487","$13,343","$9,763","$21,943","$6,278","$9,932",$254,$315,$46,$57,"$1,537","$2,701",$42,$184,$0,0 of 54,$0,44 of 54,$0,5 of 54,$600,7 of 54,Low,Steady,Low,No overspending,Low,No election held,No Measure,"5%, Increasing",Low,Less than 1 year,High,Compliant,Low
Pima Unified School District,2017,Graham,5,T-6,5,14,Medium,Town,810,4,62.3%,50.2%,13.1%,9.4%,5.3%,2.7%,4.1%,3.1%,$916,"$1,102",Very Low,65,53,Very Low,$4.67,$5.20,Low,142,263,Very Low,Very Low,$3.29,$3.54,Low,Low,$5.45,$3.94,Very High,$816,$728,High,Very High,"$4,371","$4,541",$916,"$1,102",$661,"$1,289",$370,$396,$188,$488,$290,$632,$215,$346,"$7,011","$8,794",$83,$764,$223,$536,$18,$221,$2,$78,$326,"$1,599","$7,337","$10,393",26%,31%,37%,31%,52%,44%,95%,93%,88%,85%,25%,24%,16%,13%,15.6,17.0,"$35,771","$44,553","$5,587","$5,512",13.3,12.8,7%,16%,$596,"$3,999","$5,890","$4,066","$1,543","$4,210","$8,029","$12,275","$6,057","$5,929",$267,$243,$50,$49,$605,"$1,751",$61,$138,$0,1 of 29,$0,0 of 29,$0,14 of 29,$186,20 of 29,Low,Steady,Low,No overspending,Low,No election held,No Measure,"7.6%, Increasing",Low,More than 3 years,Low,Marginally compliant,Moderate
Pine Strawberry Elementary School District,2017,Gila,11,T-11,17,6,Very small,Rural,116,1,54.5%,50.5%,14.0%,12.2%,4.4%,7.1%,3.9%,3.9%,"$3,496","$3,137",No Measure,29,32,No Measure,$5.34,$6.96,No Measure,573,412,No Measure,No Measure,$8.19,$5.79,No Measure,No Measure,$3.79,$1.87,No Measure,"$2,449","$1,459",No Measure,No Measure,"$13,650","$8,613","$3,496","$3,137","$3,059","$2,644","$1,091","$1,000","$1,788",$961,$985,$601,$967,$498,"$25,036","$17,454",$822,"$1,161",$406,$735,$0,$31,$38,$90,"$1,266","$2,017","$26,302","$19,471",53%,37%,47%,38%,81%,62%,95%,94%,N/A,N/A,22%,19%,16%,14%,6.7,13.3,"$49,282","$44,961","$3,079","$4,257",13.9,12.6,0%,11%,"$1,727","$2,908","$3,696","$5,692","$20,121","$13,343","$25,544","$21,943","$7,466","$9,932",$289,$315,$62,$57,"$2,139","$2,701",$412,$184,$0,0 of 54,"$16,638",44 of 54,$0,5 of 54,$0,7 of 54,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"36.5%, Increasing",Low,More than 3 years,Low,Noncompliant,High
Pinon Unified School District,2017,Navajo,5,T-10,7,7,Medium,Rural,"1,104",3,40.0%,50.2%,12.5%,21.3%,5.1%,8.1%,7.2%,5.8%,"$1,987","$1,102",Very High,36,53,Very High,$9.46,$5.20,Very High,359,263,Very High,Very High,$3.52,$3.54,Comparable,Comparable,$3.46,$1.93,Very High,"$2,174","$1,267",Very High,Very High,"$6,360","$4,541","$1,987","$1,102","$3,393","$1,289",$803,$396,"$1,291",$488,"$1,149",$632,$927,$346,"$15,910","$8,794",$196,$764,"$1,175",$536,$68,$221,$35,$78,"$1,474","$1,599","$17,384","$10,393",13%,18%,11%,17%,20%,25%,91%,92%,71%,79%,42%,43%,10%,12%,14.0,15.3,"$54,120","$48,972","$3,589","$4,489",9.5,12.6,23%,16%,"$9,215","$3,999","$6,701","$4,066",$877,"$4,210","$16,793","$12,275","$6,399","$5,929",$254,$243,$53,$49,"$2,615","$1,751",$1,$138,$0,1 of 29,$0,0 of 29,"$6,664",14 of 29,$0,20 of 29,Low,Moderate decrease,Moderate,No overspending,Low,No election held,No Measure,"4.7%, Varying",Low,Impact Aid Fund reserve,Low,Compliant,Low
Pomerene Elementary School District,2017,Cochise,11,T-11,19,14,Very small,Rural,90,1,47.8%,50.5%,23.0%,10.2%,7.3%,6.7%,4.9%,0.1%,"$2,123","$3,137",No Measure,36,32,No Measure,$2.91,$6.96,No Measure,322,412,No Measure,No Measure,$4.09,$5.79,No Measure,No Measure,$6.03,$1.87,No Measure,"$1,549","$1,459",No Measure,No Measure,"$4,411","$8,613","$2,123","$3,137",$937,"$2,644",$674,"$1,000",$621,$961,$457,$601,$12,$498,"$9,235","$17,454","$2,986","$1,161","$1,248",$735,$0,$31,$40,$90,"$4,274","$2,017","$13,509","$19,471",48%,35%,41%,36%,78%,52%,93%,93%,N/A,N/A,33%,34%,13%,15%,15.0,14.8,"$42,809","$46,717","$2,658","$4,152",10.2,11.3,0%,16%,"$1,136","$2,908","$9,127","$5,692","$3,678","$13,343","$13,941","$21,943","$6,252","$9,932",$271,$315,$53,$57,"$4,093","$2,701",$50,$184,$0,0 of 54,"$1,399",44 of 54,$0,5 of 54,$0,7 of 54,Low,Small school adjustment,Low,No overspending,Low,No election held,No Measure,"4.5%, Increasing",Low,More than 3 years,Low,Compliant,Low
Prescott Unified School District,2017,Yavapai,3,T-4,2,1,Medium-large,City,"3,843",6,50.2%,53.1%,9.6%,12.4%,4.5%,5.7%,11.0%,6.6%,$717,$837,Low,65,69,Low,$5.28,$6.01,Low,176,157,High,Low,$2.79,$3.04,Low,Low,$3.38,$3.61,Low,"$1,700","$1,278",Very High,High,"$3,750","$3,991",$717,$837,$929,$965,$339,$324,$423,$433,$823,$640,$496,$338,"$7,477","$7,528","$1,533",$890,$490,$406,$61,$258,$85,$146,"$2,169","$1,700","$9,646","$9,228",43%,44%,50%,44%,68%,60%,95%,95%,NR,90%,14%,13%,10%,12%,19.6,18.4,"$42,546","$46,837","$5,211","$6,016",10.1,11.3,18%,18%,$946,$781,"$2,417","$3,243","$5,614","$5,097","$8,977","$9,121","$5,207","$5,442",$237,$240,$46,$47,"$1,374",$866,$210,$157,$0,1 of 15,$0,0 of 15,$0,3 of 15,$525,13 of 15,Moderate,Large decrease,High,Isolated,Moderate,Voter-approved,Low,"3.3%, Increasing",Low,1 to 3 years,Moderate,Compliant,Low
Quartzsite Elementary School District,2017,La Paz,11,T-11,17,5,Very small,Rural,180,2,43.9%,50.5%,19.0%,15.7%,7.4%,8.0%,5.3%,0.7%,"$2,047","$3,137",No Measure,36,32,No Measure,$5.70,$6.96,No Measure,295,412,No Measure,No Measure,$3.36,$5.79,No Measure,No Measure,$2.47,$1.87,No Measure,$751,"$1,459",No Measure,No Measure,"$4,718","$8,613","$2,047","$3,137","$1,684","$2,644",$790,"$1,000",$861,$961,$574,$601,$72,$498,"$10,746","$17,454",$0,"$1,161",$451,$735,$7,$31,$0,$90,$458,"$2,017","$11,204","$19,471",22%,37%,34%,38%,33%,62%,93%,94%,N/A,N/A,20%,19%,11%,14%,16.3,13.3,"$44,115","$44,961","$6,872","$4,257",7.0,12.6,36%,11%,"$1,146","$2,908","$1,635","$5,692","$8,477","$13,343","$11,258","$21,943","$8,171","$9,932",$317,$315,$59,$57,"$1,146","$2,701",$53,$184,$0,0 of 54,$0,44 of 54,$0,5 of 54,$0,7 of 54,Low,Moderate decrease,Moderate,No overspending,Low,No election held,No Measure,"7.1%, Increasing",Low,1 to 3 years,Moderate,Compliant,Low
Queen Creek Unified School District,2017,Maricopa,3,T-3,1,12 and 16,Medium-large,Suburb,"6,406",8,55.1%,53.1%,10.1%,13.7%,4.6%,5.3%,8.0%,3.2%,$744,$837,Low,88,69,Low,$7.35,$6.01,Very High,137,157,Low,Very High,$3.04,$3.04,Comparable,Comparable,$3.68,$4.28,Low,$925,"$1,207",Very Low,Very Low,"$4,054","$3,991",$744,$837,"$1,004",$965,$341,$324,$389,$433,$587,$640,$237,$338,"$7,356","$7,528",$965,$890,$615,$406,$265,$258,$249,$146,"$2,094","$1,700","$9,450","$9,228",59%,59%,52%,57%,73%,75%,94%,95%,93%,93%,7%,7%,12%,11%,19.7,18.3,"$49,955","$44,253","$4,979","$5,557",11.4,11.2,19%,21%,$572,$781,"$3,878","$3,243","$4,824","$5,097","$9,274","$9,121","$5,415","$5,442",$245,$240,$40,$47,$672,$866,$57,$157,$0,1 of 15,$0,0 of 15,$0,3 of 15,"$1,728",13 of 15,Low,Increase,Low,No overspending,Low,Voter-approved,Low,"5.3%, Increasing",Low,More than 3 years,Low,Compliant,Low
Ray Unified School District,2017,Pinal,6,T-10,5,8,Small,Rural,414,2,54.3%,48.7%,14.3%,13.4%,3.6%,5.5%,7.0%,1.9%,"$1,413","$1,784",Very Low,38,44,Very Low,$2.86,$4.85,Very Low,462,348,Very High,Low,$4.19,$3.70,High,High,$2.42,$1.93,Very High,"$1,727","$1,267",Very High,Very High,"$5,358","$5,470","$1,413","$1,784","$1,322","$1,587",$358,$534,$538,$571,$693,$642,$186,$423,"$9,868","$11,011",$130,$437,$285,$479,$22,$179,$24,$45,$461,"$1,140","$10,329","$12,151",20%,31%,29%,31%,44%,44%,94%,93%,89%,85%,23%,24%,11%,13%,13.8,17.0,"$45,363","$44,553","$6,011","$5,512",18.4,12.8,10%,16%,"$1,238","$2,411","$3,628","$3,824","$5,662","$7,054","$10,528","$13,289","$7,019","$7,159",$285,$285,$56,$57,"$1,310","$1,876",$88,$246,$0,0 of 20,$0,4 of 20,$0,5 of 20,"$1,336",15 of 20,Low,Moderate decrease,Moderate,No overspending,Low,Voter-approved,Low,"10.6%, Increasing",Low,1 to 3 years,Moderate,Compliant,Low
Red Mesa Unified School District,2017,Apache,6,T-10,7,7,Small,Rural,532,5,38.1%,48.7%,18.3%,17.7%,2.7%,8.2%,11.0%,4.0%,"$3,429","$1,784",Very High,21,44,Very High,$7.76,$4.85,Very High,428,348,Very High,Very High,$2.79,$3.70,Very Low,Very Low,$2.44,$1.93,Very High,"$1,624","$1,267",Very High,Very High,"$7,155","$5,470","$3,429","$1,784","$3,319","$1,587",$497,$534,"$1,534",$571,"$2,069",$642,$757,$423,"$18,760","$11,011",$270,$437,$381,$479,$0,$179,$15,$45,$666,"$1,140","$19,426","$12,151",9%,18%,10%,17%,21%,25%,90%,92%,78%,79%,41%,43%,14%,12%,11.0,15.3,"$43,851","$48,972","$1,840","$4,489",17.8,12.6,0%,16%,"$11,551","$2,411","$9,052","$3,824",$909,"$7,054","$21,512","$13,289","$9,582","$7,159",$321,$285,$65,$57,"$4,215","$1,876",$12,$246,$0,0 of 20,$0,4 of 20,"$7,438",5 of 20,$0,15 of 20,Moderate,Large decrease,High,No overspending,Low,No election held,No Measure,"27.1%, Increasing",Low,More than 3 years,Low,Marginally compliant,Moderate
Red Rock Elementary School District,2017,Pinal,10,T-7,17,11,Small,Rural,324,1,56.2%,52.5%,17.5%,8.0%,6.2%,1.4%,4.9%,5.8%,"$1,408","$1,231",High,54,54,High,$1.76,$6.81,Very Low,364,153,Very High,Low,$2.96,$3.41,Low,Low,$1.36,$2.98,Very Low,$404,$921,Very Low,Very Low,"$4,528","$4,993","$1,408","$1,231",$642,"$1,125",$504,$549,$110,$575,$396,$606,$464,$397,"$8,052","$9,476",$293,$194,$121,$329,$0,$167,$0,$91,$414,$781,"$8,466","$10,257",46%,37%,45%,38%,85%,62%,97%,94%,N/A,N/A,18%,19%,18%,14%,16.2,13.3,"$41,083","$44,961","$5,650","$4,257",9.8,12.6,31%,11%,$522,"$2,395","$4,149","$4,806","$3,308","$4,236","$7,979","$11,437","$6,011","$6,815",$261,$269,$46,$50,$555,"$1,792",$50,$341,$0,0 of 12,$0,0 of 12,$0,3 of 12,$0,6 of 12,Moderate,Increase,Low,No overspending,Low,No election held,No Measure,"2%, Varying",High,Less than 1 year,High,Compliant,Low
Riverside Elementary School District,2017,Maricopa,8,T-1,13,19,Medium,City,907,3,46.4%,51.3%,16.9%,12.2%,7.2%,4.3%,5.9%,7.1%,"$1,453",$974,Very High,43,68,Very High,$4.11,$6.31,Very Low,256,147,Very High,Low,$2.48,$2.75,Low,Low,$3.26,$6.81,Very Low,$738,$942,Very Low,Very Low,"$4,000","$4,164","$1,453",$974,"$1,052",$909,$622,$640,$368,$327,$511,$626,$614,$559,"$8,620","$8,199","$6,056",$924,"$3,526",$582,"$1,655",$255,$71,$146,"$11,308","$1,907","$19,928","$10,106",25%,32%,26%,32%,33%,46%,96%,94%,N/A,N/A,29%,25%,12%,12%,19.7,19.1,"$37,360","$43,084","$4,158","$4,885",6.6,8.3,18%,30%,"$2,212","$1,848",$510,"$3,857","$14,059","$4,627","$16,781","$10,332","$5,183","$5,145",$226,$236,$40,$43,"$1,902","$1,915",$37,$54,$0,4 of 19,$0,0 of 19,$0,0 of 19,"$8,015",19 of 19,Low,Increase,Low,No overspending,Low,Voter-approved,Low,"5.6%, Increasing",Low,1 to 3 years,Moderate,Compliant,Low
Roosevelt Elementary School District,2017,Maricopa,7,T-2,14,27,Large,City,"8,854",18,48.7%,54.1%,11.3%,11.5%,6.9%,4.0%,10.4%,7.2%,"$1,096",$796,Very High,51,75,Very High,$6.66,$6.23,High,168,135,Very High,Very High,$2.60,$2.77,Low,Low,NR,$5.31,NR,NR,"$1,178",NR,No measure,"$4,738","$4,304","$1,096",$796,"$1,119",$837,$670,$566,$388,$303,"$1,015",$671,$700,$511,"$9,726","$7,988",$34,$499,$456,$357,"$1,991",$361,$9,$168,"$2,490","$1,385","$12,216","$9,373",25%,29%,23%,27%,33%,40%,93%,94%,N/A,N/A,34%,35%,13%,12%,19.2,18.1,"$48,986","$45,606","$5,181","$5,189",9.3,8.5,22%,32%,"$3,047","$1,522","$4,175","$4,236","$4,663","$3,488","$11,885","$9,246","$5,172","$5,133",$237,$235,$43,$44,"$2,760","$1,543",$35,$45,"$1,533",4 of 10,$0,0 of 10,$0,2 of 10,"$1,779",10 of 10,Moderate,Moderate decrease,Moderate,Operating and capital,High,Voter-approved,Low,"1.6%, Increasing",High,More than 3 years,Low,Compliant,Low
Round Valley Unified School District,2017,Apache,5,T-10,5,7,Medium,Town,"1,246",3,50.7%,50.2%,10.7%,17.3%,3.3%,4.4%,9.5%,4.1%,$848,"$1,102",Very Low,63,53,Very Low,$3.21,$5.20,Very Low,426,263,Very High,Low,$4.79,$3.54,Very High,Very High,$2.11,$1.93,High,$725,"$1,267",Very Low,Very Low,"$3,991","$4,541",$848,"$1,102","$1,367","$1,289",$262,$396,$344,$488,$746,$632,$321,$346,"$7,879","$8,794",$246,$764,$41,$536,$184,$221,$1,$78,$472,"$1,599","$8,351","$10,393",41%,31%,36%,31%,49%,44%,92%,93%,83%,85%,25%,24%,15%,13%,20.1,17.0,"$41,845","$44,553","$6,546","$5,512",12.1,12.8,17%,16%,"$1,048","$3,999",$905,"$4,066","$6,038","$4,210","$7,991","$12,275","$5,407","$5,929",$236,$243,$48,$49,"$1,351","$1,751",$45,$138,$0,1 of 29,$0,0 of 29,$0,14 of 29,"$1,238",20 of 29,Low,Steady,Low,No overspending,Low,Voter-approved,Low,"6.6%, Increasing",Low,More than 3 years,Low,Compliant,Low
